date,main_dir_deg,plume_spread_deg,wind_spd
26-Aug,57.01,111.87,1.93
27-Aug,30.38,117.97,1.73
28-Aug,9.9,108.36,1.62
29-Aug,44.25,101.93,1.93
30-Aug,54.73,91.07,2.04
31-Aug,48.33,71.47,2.27
1-Sep,49.4,67.39,2.02
2-Sep,52.19,79.75,1.73
3-Sep,48.57,103.28,1.6
4-Sep,47.21,109.3,1.69
5-Sep,40.66,113.64,1.78
7-Sep,52.74,105.27,1.91
10-Sep,47.65,88.63,1.92
