Date_Time,wnd_sp,wnd_dir
9/1/2021 9:02,0.4500,358
9/1/2021 10:02,1.7900,217
9/1/2021 11:02,2.6800,226
9/1/2021 12:02,2.2400,244
9/1/2021 13:02,3.1300,271
9/1/2021 14:02,2.6800,237
9/1/2021 15:02,2.2400,273
9/1/2021 16:02,2.6800,279
9/1/2021 17:02,2.2400,286
9/1/2021 18:02,1.7900,318
9/1/2021 19:02,2.2400,341
9/1/2021 20:02,0.0000,0
9/1/2021 21:02,0.4500,138
9/1/2021 22:02,0.8900,122
9/1/2021 23:02,0.4500,102
9/2/2021 0:02,0.0000,0
9/2/2021 1:02,0.0000,0
9/2/2021 2:02,0.0000,0
9/2/2021 3:02,0.4500,159
9/2/2021 4:02,0.4500,140
9/2/2021 5:02,0.0000,0
9/2/2021 6:02,0.4500,146
9/2/2021 7:02,0.0000,0
9/2/2021 8:02,0.4500,176
9/2/2021 9:02,0.0000,0
9/2/2021 10:02,1.7900,322
9/2/2021 11:02,2.2400,340
9/2/2021 12:02,2.6800,339
9/2/2021 13:02,3.5800,335
9/2/2021 14:02,2.6800,339
9/2/2021 15:02,3.5800,332
9/2/2021 16:02,3.1300,329
9/2/2021 17:02,3.1300,327
9/2/2021 18:02,1.7900,325
9/2/2021 19:02,0.8900,309
9/2/2021 20:02,0.4500,76
9/2/2021 21:02,0.8900,134
9/2/2021 22:02,0.0000,0
9/2/2021 23:02,0.4500,105
9/3/2021 0:02,0.4500,159
9/3/2021 1:02,0.4500,144
9/3/2021 2:02,0.4500,159
9/3/2021 3:02,0.4500,152
9/3/2021 4:02,0.4500,150
9/3/2021 5:02,0.0000,0
9/3/2021 6:02,0.0000,0
9/3/2021 7:02,0.4500,141
9/3/2021 8:02,0.4500,138
9/3/2021 9:02,0.0000,0
9/3/2021 10:02,1.3400,348
9/3/2021 11:02,1.7900,353
9/3/2021 12:02,1.7900,360
9/3/2021 13:02,2.2400,352
9/3/2021 14:02,2.6800,322
9/3/2021 15:02,2.6800,316
9/3/2021 16:02,2.6800,331
9/3/2021 17:02,2.2400,322
9/3/2021 18:02,2.2400,332
9/3/2021 19:02,0.8900,11
9/3/2021 20:02,0.0000,0
9/3/2021 21:02,0.4500,137
9/3/2021 22:02,0.8900,124
9/3/2021 23:02,0.0000,0
9/4/2021 0:02,0.4500,152
9/4/2021 1:02,0.0000,0
9/4/2021 2:02,0.0000,0
9/4/2021 3:02,0.0000,0
9/4/2021 4:02,0.0000,0
9/4/2021 5:02,0.4500,148
9/4/2021 6:02,0.0000,0
9/4/2021 7:02,0.8900,150
9/4/2021 8:02,0.0000,0
9/4/2021 9:02,0.0000,0
9/4/2021 10:02,0.4500,227
9/4/2021 11:02,1.7900,337
9/4/2021 12:02,2.6800,331
9/4/2021 13:02,3.1300,342
9/4/2021 14:02,2.6800,341
9/4/2021 15:02,2.2400,318
9/4/2021 16:02,2.6800,314
9/4/2021 17:02,2.2400,313
9/4/2021 18:02,1.7900,315
9/4/2021 19:02,0.8900,359
9/4/2021 20:02,0.4500,149
9/4/2021 21:02,0.8900,130
9/4/2021 22:02,0.4500,149
9/4/2021 23:02,0.4500,134
9/5/2021 0:02,0.0000,0
9/5/2021 1:02,0.4500,157
9/5/2021 2:02,0.4500,167
9/5/2021 3:02,0.0000,0
9/5/2021 4:02,0.0000,0
9/5/2021 5:02,0.0000,0
9/5/2021 6:02,0.0000,0
9/5/2021 7:02,0.4500,158
9/5/2021 8:02,1.3400,120
9/5/2021 9:02,0.0000,0
9/5/2021 10:02,0.4500,236
9/5/2021 11:02,2.2400,328
9/5/2021 12:02,1.7900,335
9/5/2021 13:02,2.2400,314
9/5/2021 14:02,2.6800,312
9/5/2021 15:02,2.2400,321
9/5/2021 16:02,2.6800,302
9/5/2021 17:02,2.6800,305
9/5/2021 18:02,1.7900,319
9/5/2021 19:02,1.3400,345
9/5/2021 20:02,0.4500,157
9/5/2021 21:02,0.8900,130
9/5/2021 22:02,0.0000,0
9/5/2021 23:02,0.8900,126
9/6/2021 0:02,0.4500,163
9/6/2021 1:02,0.4500,149
9/6/2021 2:02,0.0000,0
9/6/2021 3:02,0.0000,0
9/6/2021 4:02,0.0000,0
9/6/2021 5:02,0.4500,129
9/6/2021 6:02,0.0000,0
9/6/2021 7:02,0.4500,162
9/6/2021 8:02,0.0000,0
9/6/2021 9:02,0.0000,0
9/6/2021 10:02,0.8900,246
9/6/2021 11:02,2.6800,236
9/6/2021 12:02,1.7900,248
9/6/2021 13:02,1.7900,243
9/6/2021 14:02,1.7900,285
9/6/2021 15:02,3.1300,333
9/6/2021 16:02,2.6800,317
9/6/2021 17:02,2.2400,333
9/6/2021 18:02,2.2400,333
9/6/2021 19:02,1.3400,311
9/6/2021 20:02,0.0000,0
9/6/2021 21:02,0.8900,121
9/6/2021 22:02,0.4500,117
9/6/2021 23:02,0.4500,145
9/7/2021 0:02,0.0000,0
9/7/2021 1:02,0.0000,0
